"TARGET_WINS","TEAM_BATTING_2B","TEAM_BATTING_3B","TEAM_BATTING_HR","TEAM_BATTING_BB","TEAM_BATTING_SO","TEAM_BASERUN_SB","TEAM_PITCHING_H","TEAM_PITCHING_BB","TEAM_PITCHING_SO","TEAM_FIELDING_E","TEAM_FIELDING_DP","TEAM_BATTING_1B"
70,219,22,190,685,1075,37,1347,689,1082,193,155,908
86,232,35,137,602,917,46,1377,602,917,175,153,973
70,209,38,96,451,922,43,1396,454,928,164,156,1044
82,186,27,102,472,920,49,1297,472,920,138,168,982
75,200,36,92,443,973,107,1279,443,973,123,149,951
80,179,54,122,525,1062,80,1244,525,1062,136,186,889
85,171,37,115,456,1027,40,1281,459,1033,112,136,950
86,197,40,114,447,922,69,1391,447,922,127,169,1040
76,213,18,96,441,827,72,1271,441,827,131,159,944
78,179,27,82,374,888,60,1364,391,928,119,141,1017
68,203,31,95,509,801,119,1372,509,801,147,150,1043
72,196,41,55,597,816,221,1340,601,821,185,165,1040
76,210,23,63,534,812,126,1265,534,812,150,139,969
74,233,40,131,542,880,159,1380,542,880,147,137,976
87,226,28,108,539,682,86,1417,539,682,136,136,1055
88,242,43,164,589,843,100,1563,589,843,135,172,1114
66,239,32,107,546,900,92,1478,553,911,136,146,1082
75,197,24,143,579,841,65,2047,853,1239,149,177,1026
93,268,26,186,613,760,55,1518,613,760,106,171,1038
70,241,22,154,509,835,41,1467,509,835,154,190,1050
81,211,30,150,556,928,80,1363,556,928,128,170,972
90,215,31,153,648,902,106,1364,648,902,112,202,965
92,236,36,167,671,860,109,1387,671,860,107,156,948
75,257,26,172,590,926,125,1406,590,926,117,162,951
75,258,31,124,469,819,86,1458,469,819,135,175,1045
91,208,37,145,429,1011,89,1422,429,1011,96,173,1032
80,237,27,147,566,1000,69,1448,566,1000,140,186,1037
81,245,29,115,448,928,94,1396,448,928,102,156,1007
72,202,20,88,416,882,160,1306,416,882,134,172,996
71,259,24,114,564,930,169,1399,564,930,120,161,1002
66,251,23,169,566,1007,92,2068,797,1419,107,155,1025
87,282,28,208,630,993,65,1735,704,1109,106,134,1035
70,258,24,193,530,980,53,1591,533,986,129,157,1106
84,279,25,161,617,953,126,1531,617,953,126,140,1066
85,314,27,147,510,1028,93,1530,510,1028,106,146,1042
70,248,22,158,511,1022,71,1404,511,1022,106,156,976
82,309,34,236,608,1024,93,1574,608,1024,134,184,995
75,275,26,158,494,1001,116,1447,494,1001,103,142,988
99,333,32,152,462,805,117,1603,462,805,87,151,1086
77,276,33,150,476,838,129,1473,476,838,105,138,1014
92,272,37,162,450,942,143,1603,450,942,90,126,1132
95,278,30,147,447,848,161,1520,447,848,87,139,1065
65,235,46,159,489,1239,73,1353,489,1239,100,125,913
100,289,46,216,588,1045,137,1566,588,1045,104,129,1015
85,282,44,179,535,975,97,1466,535,975,107,138,961
92,284,35,208,587,1052,71,1494,587,1052,84,148,967
98,283,41,165,643,1016,92,1471,643,1016,89,116,982
84,303,47,152,531,1006,76,1467,531,1006,107,132,965
51,295,38,135,441,1022,53,1401,441,1022,139,144,933
77,291,27,191,606,1094,67,1419,606,1094,94,159,910
76,331,38,160,504,965,76,1506,504,965,104,172,977
77,258,79,39,203,426,284,2897,392,822,710,104,1126
104,345,142,56,203,699,330,2761,336,1155,631,89,1127
107,261,88,53,302,963,321,2264,441,1405,546,101,1149
67,208,77,32,275,755,308,1914,398,1092,644,94,1006
78,209,82,33,346,744,216,2080,479,1030,644,119,1178
82,248,126,71,455,525,499,2249,609,703,699,82,1235
85,202,108,68,341,633,354,1729,412,765,597,92,1052
105,248,68,53,596,570,419,2003,754,721,523,104,1214
93,213,76,38,646,627,347,1810,787,764,436,112,1159
102,212,94,63,625,632,339,1742,734,742,420,111,1115
108,224,63,82,705,367,305,2141,885,461,443,135,1336
102,334,115,126,657,320,296,2498,806,393,509,139,1460
88,244,70,67,618,292,246,2094,764,361,450,137,1312
92,216,92,45,512,339,298,2165,633,419,455,124,1398
114,282,102,55,519,322,286,2371,637,395,334,131,1493
