"INDEX","TEAM_BATTING_2B","TEAM_BATTING_3B","TEAM_BATTING_HR","TEAM_BATTING_BB","TEAM_BATTING_SO","TEAM_BASERUN_SB","TEAM_PITCHING_H","TEAM_PITCHING_BB","TEAM_PITCHING_SO","TEAM_FIELDING_E","TEAM_FIELDING_DP","TEAM_BATTING_1B","TARGET_WINS"
9,170,33,83,447,1080,62,1209,447,1080,140,156,923,0
10,151,29,88,516,929,54,1221,516,929,135,164,953,0
14,183,29,93,509,816,59,1395,509,816,156,153,1090,0
47,309,29,159,486,914,148,1539,486,914,124,154,1042,0
63,236,53,10,215,377,226,2793,420,736,572,105,1132,0
74,219,55,37,568,527,365,1544,613,569,490,106,1119,0
83,158,42,33,356,609,185,1626,418,715,328,104,1152,0
98,177,78,23,466,689,150,1342,497,734,226,132,981,0
120,212,42,58,452,584,52,1489,482,622,184,145,1085,0
123,243,40,50,495,640,64,1501,521,673,200,183,1094,0
135,239,55,164,462,670,48,1574,486,705,150,178,1038,0
138,223,57,186,511,751,31,1494,538,790,137,167,954,0
140,232,22,176,503,680,27,1536,529,715,125,160,1030,0
151,195,22,141,485,665,59,1411,485,665,115,114,1053,0
153,192,30,153,434,747,57,1434,434,747,146,180,1059,0
171,204,22,130,491,1008,84,1313,497,1021,154,126,941,0
184,284,25,166,565,1041,77,1464,572,1054,115,172,971,0
193,162,52,17,383,636,138,1351,406,655,301,83,1045,0
213,322,72,116,527,397,90,1816,558,420,232,174,1205,0
217,295,68,49,628,459,77,1620,669,489,166,158,1108,0
226,291,38,98,629,563,54,1702,670,600,155,174,1170,0
230,256,67,105,653,651,40,1559,701,698,179,153,1025,0
241,225,26,118,533,677,18,1450,561,712,160,174,1009,0
291,277,24,152,431,902,89,1516,431,902,105,164,1063,0
294,288,20,164,474,878,121,1556,474,878,102,156,1084,0
348,263,58,47,385,479,63,1540,405,504,232,146,1096,0
350,318,66,32,634,439,83,1639,667,462,218,130,1142,0
357,308,36,39,432,602,45,1601,460,642,199,135,1119,0
367,320,58,130,718,596,70,1679,755,627,178,146,1088,0
368,260,59,110,630,541,72,1648,671,577,167,166,1117,0
372,282,53,115,723,695,47,1595,761,731,146,174,1066,0
382,275,47,146,765,723,29,1631,805,761,178,177,1082,0
388,260,54,148,532,935,39,1465,539,947,130,154,985,0
396,252,28,203,594,855,50,1450,594,855,156,131,967,0
398,239,36,130,546,897,69,1408,571,938,136,147,942,0
403,260,56,214,531,911,66,1571,534,917,133,163,1031,0
407,252,26,135,567,780,48,2367,851,1170,137,162,1165,0
410,259,45,181,500,842,38,1598,500,842,143,128,1113,0
412,322,21,145,599,711,41,1506,603,715,130,147,1009,0
414,310,39,124,623,728,65,1569,623,728,93,123,1096,0
440,196,120,62,781,599,536,1931,937,719,470,91,1231,0
476,175,70,80,615,612,392,1803,733,729,413,110,1189,0
479,237,119,41,593,334,325,2114,756,426,537,114,1260,0
481,213,106,69,526,429,324,2176,655,535,500,120,1358,0
501,224,70,56,416,677,176,1397,440,717,284,100,969,0
503,204,70,18,437,630,134,1360,460,663,281,127,1001,0
506,235,70,36,450,443,121,1494,473,466,237,118,1079,0
519,269,54,76,412,500,55,1574,433,526,177,171,1097,0
522,289,38,80,517,486,72,1709,544,511,154,164,1218,0
550,239,50,145,499,1041,70,1391,499,1041,162,147,957,0
554,203,43,130,415,854,41,1319,415,854,119,149,943,0
566,251,35,107,471,912,93,1411,471,912,174,149,1018,0
578,221,41,104,417,816,77,1420,417,816,114,142,1054,0
596,206,106,38,566,401,334,1849,674,478,411,119,1202,0
599,203,72,15,392,616,227,1346,412,648,250,100,990,0
605,122,61,7,427,706,194,1186,452,725,332,106,930,0
607,183,84,18,445,499,216,1462,468,508,304,107,1105,0
614,252,81,29,494,414,174,1798,572,479,200,134,1192,0
644,218,69,45,738,627,65,1483,776,660,142,189,1078,0
